The Colling; Thefatrat, Laura Brem; https://youtube.com/watch?v=NO8Arj4yeww; Techno, House; 2016; English; 0
Scary Monsters and Nice Sprites; Skrillex; https://music.youtube.com/watch?v=DXGY5bXBzhg; Dubstep; 2010; English; 0
Selecta; Skrillex, BEAM; https://music.youtube.com/watch?v=O82EJD7WLQs; Techno, House; 2023; English; 0
Colors; Tobu; https://music.youtube.com/watch?v=eyLml-zzXzw; Techno, House; 2014; ; 0
Rock 'n' Roll (Will Take You to the Mountain); Skrillex; https://music.youtube.com/watch?v=iIyE3EDCigE; Techno, House; 2010; English; 0 
Candyland; Tobu; https://music.youtube.com/watch?v=IhchfhxvPKI&list=OLAK5uy_mDgP-4ZEKCPaQfJCF7fFVmLZO3kM23OGI; Techno, House; 2015; ; 0
Are you with me; Lost Frequencies; https://www.youtube.com/watch?v=b7GmpcWkeiM; Techno, House, Pop; 2014; English; 0
Astronaut; Sido, Andreas Bourani; https://www.youtube.com/watch?v=E5v1ZS8ZpMk; ; 2015; Deutsch; 0
Au Revoir; Mark Forster, Sido; https://www.youtube.com/watch?v=h-8x2LeTVUc; Pop; 2014; Deutsch; 0
Auf uns; Andreas Bourani; https://youtube.com/watch?v=PUkA5QF6wHA&list=RDAMVMPUkA5QF6wHA; Pop; 2014; Deutsch; 0
Cheap Thrills; Sia; https://youtube.com/watch?v=K_idN3P5_yk; ; 2015; English; 0
Euphoria; Loreen; https://www.youtube.com/watch?v=bcnWysA9gxo; Techno, House; 2012; English; 33
Gangnam Style; PSY; https://youtube.com/watch?v=9bZkp7q19f0; Techno, House; 2012; Koreanisch,  Englisch; 0
Geboren um zu leben; Unheilig; https://youtube.com/watch?v=1YOovPkiMrk; Pop; 2002; Deutsch; 0
Get lucky; Daft Punk; https://youtube.com/watch?v=Rgrt_8mXrK8; Pop; 2013; English; 0
Give me everything; Pitbull; https://youtube.com/watch?v=EPo5wWmKEaI; Techno, House; 2011; English; 0
Grenade; Bruno Mars; https://www.youtube.com/watch?v=Hi7HSTqb6wY; Pop; 2010; English; 4
Heavy Cross; Gossip; https://youtube.com/watch?v=29l0KtID5nk; Pop; 2009; English; 0
Hello; Adele; https://youtube.com/watch?v=Ei8UnOPJX7w; ; 2015; English; 0
Hot N Cold; Katy Perry; https://youtube.com/watch?v=C-jAPrdc3PI; Pop; 2008; English; 0
I gotta feeling; The Black Eyed Peas; https://youtube.com/watch?v=uSD4vsh1zDA; Techno, House; 2009; English; 0
I See Fire; Ed Sheeran; https://youtube.com/watch?v=F9tJK4rHXHg; ; 2013; English; 0
If A Song Could Get Me You; Marit Larsen; https://youtube.com/watch?v=J2eCiRVYTUY; Pop; 2006; English; 0
Let Her Go; Passenger; https://youtube.com/watch?v=6bGmUTAfh-A; Pop; 2002; English; 0
Let Me Love You; DJ Snake, Justin Bieber; https://youtube.com/watch?v=rJ0D1GbDq1Q; ; 2016; English; 0
Love The Way You Lie; Eminem, Rihanna; https://youtube.com/watch?v=ozPOI0TJHCg; Hip Hop; 2010; English; 0
Love Yourself; Justin Bieber; https://youtube.com/watch?v=p-IXgwqhfmg; Pop; 2015; English; 0
Lovers on the Sun; David Guetta; https://youtube.com/watch?v=jfXNXkgPviA; Pop, Techno, House; 2014; English; 0
Never Be Alone; Thefatrat; https://youtube.com/watch?v=Ic-gZlPFTkQ; Techno, House; 2015; ; 0
Oblivion; Thefatrat; https://youtube.com/watch?v=Gc3tqnhmf5U; Techno, House; 2017; English; 0
On The Floor; Jennifer Lopez, Pitbull; https://youtube.com/watch?v=gDRL47NzG5o; Techno, House; 2011; English; 0
One Dance; Drake; https://www.youtube.com/watch?v=GVUxTKZgqcQ; ; 2016; English; 2
One Kiss; Calvin Harris; https://youtube.com/watch?v=XWCPbRsMb0Q; Techno, House; 2017; English; 0
Party Rock Anthem; LMFAO; https://www.youtube.com/watch?v=P7KqQt-yY40; Techno, House; 2011; English; 15
Perfect; Ed Sheeran; https://youtube.com/watch?v=ORrFJ63nlcA; Pop; 2017; English; 0
Rather Be; Clean Bandit; https://youtube.com/watch?v=dHdMAdh4Xgc; Techno, House, Pop; 2014; English; 0
Rockstar; Post Malone; https://youtube.com/watch?v=AaxFIY-cWH0; ; 2017; English; 0
Safe And Sound; Capital Cities; https://youtube.com/watch?v=njvA03rMHx4; Techno, House, Pop; 2011; English; 0
Sexy Bitch; David Guetta; https://youtube.com/watch?v=mtzPVYyTNqg; Techno, House; 2009; English; 0
Shape of You; Ed Sheeran; https://youtube.com/watch?v=xTvyyoF_LZY; Pop; 2017; English; 0
Sugar; Robin Schulz; https://youtube.com/watch?v=j1h0rPYKces; Techno, House; 2015; 0
This Girl; Kungs; https://youtube.com/watch?v=kNtk-CnpL-Y; Techno, House; 2016; English; 0
Timber; Pitbull; https://youtube.com/watch?v=GcYF1xnmZTI; Techno, House; 2012; English; 0
Unity; Thefatrat; https://youtube.com/watch?v=n8X9_MgEdCg; Glitch Hop; 2014; English; 0
Waiting For Love; Avicii; https://youtube.com/watch?v=iR1sAex__VA; Techno, House; 2015; English; 0
Wake Me UP; Avicii; https://youtube.com/watch?v=2NiyrtYegso; Techno, House; 2013; English; 0
Was du Liebe nennst; Bausa; https://youtube.com/watch?v=3YLDy2TRslI; ; 2017; Deutsch; 0
Wavin' Flag; K'Naan; https://youtube.com/watch?v=NENQMda7Mbs; ; 2009; English; 0
We Are The People; Empire Of The Sun; https://youtube.com/watch?v=r02mYOlfcCw; Pop; 2008; English; 0
We Found Love; Rihanna, Calvin Harris; https://youtube.com/watch?v=tVuW4wg9G2Y; Techno, House; 2011; English; 0
When Love Takes Over; David Guetta; https://youtube.com/watch?v=zS_O0xHOsGM; Techno, House; 2009; English; 0
Wire To Wire; Razorlight; https://youtube.com/watch?v=pltEJG3gHf8; Pop; 2008; English; 0
Without You; Avicii; https://youtube.com/watch?v=VeMyjkJr9EA; Techno, House; 2017; English; 0
Wonderful Life; Hurts; https://youtube.com/watch?v=VnnCSwh7-vM; Pop; 2009; English; 0
X You; Avicii; https://youtube.com/watch?v=kKJ1MSLU6GI; Techno, House; 2013; English; 0
